netid,license_no,license_plate_no,plate_state
cas175,123456789,ABC1234,NY
mjb128,102936789,ABC0000,NC
gal16,492749678,7TYP290,CA
agk19,834839984,N33FNX,NJ
ijs5,883476354,IJS1008,NY
mah129,987654321,IGF8273,NC
bbb12,111111112,ABC4001,MO
ccc12,111111113,ABC4002,NC
ddd12,111111114,ABC4003,SC
eee12,111111115,ABC4004,TX
mlr87,111111116,ABC4005,IL
srj99,111111117,ABC4006,NJ
jtd746,111111118,ABC4007,FL
jw108,123321123,IGK1999,HI
sig65,098765432,XYZ6777,MD
ls320,987654321,LOLA41,MA
afk11,666666666,666,CA
wgb123,123123123,WGB1234,NC
wfk564,481007886,YEZ6636,TX
cne763,621304916,ZLD0808,KS
nlw484,559534119,NYU4335,GA
oxg579,596092438,TKF7777,IL
goq763,169474098,UQF4584,HI
mya240,878136769,BUF8519,AK
gqe590,434919155,KUJ2150,ID
rdv527,633429267,JUK6205,AZ
qzy557,243279323,YWK7996,AZ
trm331,294725322,QRV2869,WV
ozi803,624539283,ZFQ2521,TX
usj465,047790917,TYC4505,MD
rhg634,756930206,PTZ8085,OH
nqc654,887533484,DPZ4493,PA
ted462,180590964,KLF9772,AR
pfl609,027377375,KPZ7148,TX
qrt066,919394823,EJM5803,CA
gjn588,101376585,OKX7864,MN
zut426,959621015,FRM4994,FL
bdh576,490811444,DLN3324,MI
arf595,153433756,RZU9622,NY
qsc258,449961560,CTH4301,OH
zos325,222683514,IZV3584,AL
fbv528,648250571,BIC1985,MS
alx392,140293202,XGW1198,GA
acx460,205596338,EPV0894,VA
xaw479,191693253,TLR2272,IN
tcp288,298778526,XOQ6672,OK
vpz858,848289017,XPN8126,TN
fzh231,807041459,RBL0546,FL
kbv117,847067541,YUO0998,PA
jqc763,140653782,JWG3987,CA
rah390,630595176,TMS8860,CA
ehp255,734535105,MNK1350,GA
woh326,986356715,VKT0822,TN
iwv294,461981903,PBL6090,MD
usg169,251105042,OWX0522,NJ
abl148,698400234,ZQV8510,FL
zfs693,148641710,QON7834,CA
sme550,892091529,LRB5689,MA
pvw854,334815319,ZLS3950,IA
veh811,581867114,LEK7190,VA
ctp844,825557410,PKA5065,OH
siy515,181500998,ATV6325,TN
abg753,298343451,UMX7087,PA
yfa750,410813205,RTC2445,MN
okz995,695159801,YGA5543,NC
uld068,012033270,ASL2865,MO
pxm887,820149418,JTB8331,DE
jdi233,883799761,WRH6003,MD
fwd726,842726710,KME3795,WV
oxb138,277260762,KAC4964,FL
fta504,706177025,OKJ6380,CA
ans902,579082240,KFS5274,CA
fqw266,772501108,YMJ6192,WA
qjx865,066390211,XQK0139,PA
npm825,231948726,YZL5287,MN
vpr497,910820478,GTJ4499,TN
gid136,913149704,AHT7237,CA
grq648,428645572,QDC5817,OR
tpu611,412022309,IDM6588,GA
zpd175,990138977,PAL9031,VA
aug042,454295595,JGS6417,NJ
vuy363,137757225,GMU4856,NV
wln022,340451326,RMH3717,IL
yet059,648962949,UKM2529,IA
gld555,431830050,WGU4819,CA
vpc976,273710967,BWA7739,TX
cah615,857493492,IHW7577,WA
mes237,685662186,VKY3743,UT
xbj545,592064124,IQR1588,IN
dtz601,795510318,SQJ2135,IL
jql906,173193672,TAQ4263,SC
lvo690,917869619,DPX4693,FL
yvl864,557609532,KWP1679,NY
kxe654,336685324,QVL7535,CA
jsv063,295120604,WVB5518,ID
kiv114,728393659,XQF2287,FL
zqp345,947977797,POD0622,NV
yal223,433817976,TUQ2407,TX
jtp295,561655953,AXP2691,NY
jqr521,066543284,ZDB4457,CA
zod396,776903312,JTV6125,PA
hgr149,081177418,LAE6446,MS
rhi544,174471425,IHE5568,NC
zcd432,571035982,DRK3987,DC
oiw648,289381560,HYF3372,TX
pnx737,523618536,LWJ9025,OH
wsr702,625879093,IYD3598,NY
ick328,032902543,WEV1986,FL
cpb397,700441607,UAP6669,TX
yls389,564243713,LUR7916,LA
jvu377,775863990,SPU5656,FL
vry340,744465841,CAG7559,DC
ucz950,183201353,GXZ4758,UT
iwj650,000421999,OND4481,IL
qdc071,987927589,ORS3784,TX
icd569,860670150,XZJ5385,CA
cfa464,412480639,YIF2023,LA
tiz958,344719969,OIV4584,NV
aqr750,487426403,FOQ1128,KS
url309,217974503,IPK9310,AL
eap063,897072839,ZIY3525,TX
fxz159,277802564,VBG8122,IL
qzc385,188737700,RFB1418,CT
mlu892,065303596,GNC1043,TX
mwx230,634978292,PUE6480,IA
bng770,124004966,DQE6682,TX
dxr213,217565294,EHW6340,TX
ysz518,202020089,BFY1297,TX
xnp554,497021750,GKR7933,NE
