netid,name,duke_email,phone_number,affiliation,school,password
cas175,Calleigh Smith,cas175@duke.edu,6467250830,Undergraduate,Trinity,abc123!
mjb128,Meredith Brown,mjb128@duke.edu,2025550149,Undergraduate,Trinity,525613abc
gal16,Grace Llewellyn,gal16@duke.edu,2025550169,Undergraduate,Pratt,marley73
agk19,Adam Krekorian,agk19@duke.edu,2025550116,Undergraduate,Pratt,blue98
ijs5,Isabel Shiff,ijs5@duke.edu,2025550143,Graduate,Nicolas,cars313
cab186,Catherine Bailey,cab186@duke.edu,2025550185,Undergraduate,Pratt,giants78
abc123,Alice Curly,abc123@duke.edu,2025550130,Graduate,Law,d0g123
mem20,Matt Mendoza,mem20@duke.edu,9177250830,Undergraduate,Trinity,devils99
dlc7,David Cleary,dlc7@duke.edu,9179303511,Undergraduate,Trinity,9453247784
sfs60,Sarah Smith,sfs60@duke.edu,6468948524,Graduate,Fuqua,abcdefgh
yjk10,Yang Kit,yjk10@duke.edu,7263827192,Undergraduate,Pratt,ijklmnop
lmn66,Leo Nango,lmn66@duke.edu,7280272392,Graduate,Nursing,qrstuv123
hjj7,Hallie Juno,hjj7@duke.edu,9178293721,Undergraduate,Trinity,wxyz990
ams27,Alex Sanso,ams27@duke.edu,6319282211,Graduate,Nicolas,hamlet63
tkp9,Thomas Pack,tkp9@duke.edu,7827349921,Undergraduate,Trinity,daisy94
mah129,Margot Heffernan,mah129@duke.edu,7362837233,Graduate,Law,iloveduke
mlr87,Maggie Rogers,mlr87@duke.edu,8272838822,Undergraduate,Trinity,dukerocks!
hil568,Harper Lee,hil568@duke.edu,7382342233,Undergraduate,Trinity,bestbluedevil1
jtd746,Jane Doe,jtd746@duke.edu,647238472,Undergraduate,Trinity,gthc123
aaa12,Angela,aaa12@duke.edu,1111111111,Graduate,Nicolas,password1
bbb12,Becky,bbb12@duke.edu,1111111112,Graduate,Law,passwordb
ccc12,Cassie,ccc12@duke.edu,1111111113,Graduate,Fuqua,passwordc
ddd12,Danny,ddd12@duke.edu,1111111114,Graduate,Nursing,passwordd
eee12,Early,eee12@duke.edu,1111111115,Undergraduate,Pratt,passworde
srj99,Scarlett Jones,srj99@duke.edu,1111111116,Undergraduate,Pratt,scarlett99
jw108,Jessica Walker,jw108@duke.edu,1233211234,Graduate,Fuqua,fuquastudent
sig65,Sophie Greene,sig65@duke.edu,988900987,Undergraduate,Pratt,sophie
wtf911,Walter Frank,wtf911@duke.edu,3014524333,Undergraduate,Pratt,carpool64
dif4,Daisy Ferleger,dif4@duke.edu,3014524332,Graduate,Law,cs101
ls320,Luisa Stalman,ls320@duke.edu,3014524331,Graduate,Law,lola41
afk11,Audrey Kotick,afk11@duke.edu,3015295233,Undergraduate,Pratt,bean99
khs11,Katherine Shiff,khs11@duke.edu,3019226136,Undergraduate,Trinity,soccer9
wgb123,William Brown,wgb123@duke.edu,9198197493,Undergraduate,Trinity,mybro123
sfs78,Sam Smith,sfs78@duke.edu,6382372233,Undergraduate,Pratt,dukebrother!
ams058,Ava Smith,ams058@duke.edu,7283239933,Graduate,Law,dukesister!
jfs111,James Smith,jfs111@duke.edu,9179303511,Graduate,Medicine,dukedad!
ras98,Rachel Smith,ras98@duke.edu,7382300222,Undergraduate,Pratt,dukestar123
djs057,Donna Siemaszko,djs057@duke.edu,6468948524,Graduate,Nursing,dukemom!
zw111,Zion Williamson,zw111@duke.edu,7382301111,Undergraduate,Trinity,dukebball1
bkc188,Olly Adess,bkc188@duke.edu,7023790118,Undergraduate,Trinity,QapGzIMlZgDp
ukg815,Lemmy Pautard,ukg815@duke.edu,4640080427,Undergraduate,Trinity,HJU4lSQx
pmg382,Emmie Rosindill,pmg382@duke.edu,1405685375,Undergraduate,Pratt,vERvuzRM6GJ
wol998,Lynde Attarge,wol998@duke.edu,5504345815,Undergraduate,Pratt,kbloGOr
muk633,Fairleigh Polack,muk633@duke.edu,402152010,Undergraduate,Trinity,IVxv6wsn
fru500,Annadiane Rouby,fru500@duke.edu,8994374331,Undergraduate,Pratt,oBRvHXXu4h
cjf329,Mano Small,cjf329@duke.edu,7812002116,Undergraduate,Trinity,BIBRT3AM
uce386,Benjy Brodest,uce386@duke.edu,4373370204,Undergraduate,Trinity,x0tMs4
ikd446,Chevy MacNeil,ikd446@duke.edu,9061160424,Undergraduate,Pratt,YwxT4dwmL
ans902,Sigismundo Brenton,ans902@duke.edu,5994713515,Undergraduate,Pratt,N3Y3U6
eaj912,Ferdy Cattrall,eaj912@duke.edu,3645879036,Undergraduate,Pratt,nAAhZs
lic116,Jozef Riste,lic116@duke.edu,9229198365,Undergraduate,Pratt,8hQWOIDYhTDZ
siy515,Marmaduke Bassom,siy515@duke.edu,8653690214,Undergraduate,Pratt,jqcMZVM
qri382,Hammad Wilkes,qri382@duke.edu,9130309779,Undergraduate,Trinity,ejk3jcTq3
xdu470,Sven Guthrum,xdu470@duke.edu,3112510932,Undergraduate,Pratt,fFyowTf65K
zmg301,Liv Fernyhough,zmg301@duke.edu,8302021241,Undergraduate,Pratt,ilDz7y0Oq
tfk697,Felike Worlock,tfk697@duke.edu,2438139203,Undergraduate,Pratt,wvF83XE96p
url120,Hanna Stennard,url120@duke.edu,2328535848,Undergraduate,Trinity,vhspoJX
tky332,Randi Jamot,tky332@duke.edu,4034486574,Undergraduate,Pratt,uG8Mtim
cio369,Daniella Srutton,cio369@duke.edu,7266579166,Undergraduate,Pratt,Qlf6FuWGihos
int043,Linnet Gresley,int043@duke.edu,464116183,Undergraduate,Trinity,TsSKtfBnYte
rbd596,Gregoor Birdsall,rbd596@duke.edu,726528421,Undergraduate,Trinity,tNe9ZK9
lcj001,Marshal Corkett,lcj001@duke.edu,6539126075,Undergraduate,Pratt,NThTo2R
kzu888,Elnore Stranks,kzu888@duke.edu,4642866527,Undergraduate,Trinity,zBWj3U3y
jad547,Arabelle Lettson,jad547@duke.edu,551689130,Undergraduate,Pratt,JF0qyBrCN
uez993,Rainer Beckworth,uez993@duke.edu,1181060893,Undergraduate,Trinity,SjJWnAvQ
qwi085,Sherwin Dillet,qwi085@duke.edu,6048353683,Undergraduate,Pratt,c1ywjI
zrv720,Brittan Jest,zrv720@duke.edu,1309938058,Undergraduate,Pratt,mCA9afwCiM
xmo748,Reba Bram,xmo748@duke.edu,998042858,Undergraduate,Trinity,rrI3vfpP
lyi836,Starlene O'Howbane,lyi836@duke.edu,6585211747,Undergraduate,Trinity,uYOzfds5QL
nlt079,Antoine Powis,nlt079@duke.edu,7101213433,Undergraduate,Pratt,O5qOwy89Vj
rwo476,Easter Blyde,rwo476@duke.edu,376695978,Undergraduate,Pratt,cpxq9SZk
fyv363,Cherice Durek,fyv363@duke.edu,2041037885,Undergraduate,Pratt,FX0DtdUjEdk
hsz482,Virge Shrubsall,hsz482@duke.edu,1922800979,Undergraduate,Trinity,cqGxLm
scy256,Kanya Van Ross,scy256@duke.edu,3655040403,Undergraduate,Trinity,fQR8xgX4T
sma345,L;urette Turk,sma345@duke.edu,146547744,Undergraduate,Pratt,uWCCCyB
dyo129,Shea Shorto,dyo129@duke.edu,1007236582,Undergraduate,Pratt,kuznvLeAwbH
jap950,Ermin McCafferky,jap950@duke.edu,4704528380,Undergraduate,Pratt,NxgZFa
azl340,Field Wreford,azl340@duke.edu,1965786323,Undergraduate,Pratt,ZjoSusBfuB
uvt132,Denice Aldridge,uvt132@duke.edu,7774435319,Undergraduate,Pratt,MkF37DlJQ4G
iny862,Simonette Checklin,iny862@duke.edu,9026238690,Undergraduate,Pratt,prFfOWJ
ufh553,Rafa MacConnal,ufh553@duke.edu,757735134,Undergraduate,Pratt,X0s3Lc96p
gpk922,Karie Welfair,gpk922@duke.edu,9457042940,Undergraduate,Pratt,V6ehdq1mvbs
rdg187,Stearne Jobson,rdg187@duke.edu,1541413605,Undergraduate,Trinity,sXm0etmjeQL
wvs190,Shena Goodbanne,wvs190@duke.edu,3307886473,Undergraduate,Pratt,KPFpqjXuOHZr
nfr427,Cassius Kimmerling,nfr427@duke.edu,5123250604,Undergraduate,Pratt,DAts8AaYH
fzh231,Ches Kliche,fzh231@duke.edu,5737274480,Undergraduate,Pratt,k98THiIdH
zqa675,Brunhilde Coulling,zqa675@duke.edu,2891810462,Undergraduate,Pratt,aADXAiZOk
ndw294,Francyne Howgill,ndw294@duke.edu,2636215498,Undergraduate,Trinity,xpcTFQq
mte194,Coral Willshere,mte194@duke.edu,2597484437,Undergraduate,Pratt,jeu9Yweyx
mjk216,Sigismund Beecheno,mjk216@duke.edu,3776092224,Undergraduate,Pratt,xPsPo814
hxa982,Ernesto Mirams,hxa982@duke.edu,2106703694,Undergraduate,Trinity,LTVtQt6vF
kfz063,Amalita Nance,kfz063@duke.edu,5541181104,Undergraduate,Trinity,D6VvoJVSq
pfd117,Laurella Vacher,pfd117@duke.edu,1394207952,Undergraduate,Trinity,CS6OqutqpQ
ahk763,Hortense Oxenham,ahk763@duke.edu,985527263,Undergraduate,Pratt,eWeBw6k
wlx601,Paten Izkovitch,wlx601@duke.edu,2519114032,Undergraduate,Trinity,63Ixyo0gpk
